id,title,vote_average,vote_count,release_date,runtime,overview,poster_path,genres,production_companies,production_countries
627290,Antebellum,6.27,830,2020-09-02,105,Successful author Veronica finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,/irkse1FMm9dWemwlxKJ7RINT9Iy.jpg,Horror,"Lionsgate, QC Entertainment",United States of America
830,Forbidden Planet,7.3,830,1956-03-23,98,"Starship C57D travels to planet Altair 4 in search of the crew of spaceship ""Bellerophon,"" a scientific expedition that has been missing for 20 years, only to find themselves unwelcome by the expedition's lone survivor and warned of destruction by an invisible force if they don't turn back immediately.",/aq0OQfRS7hDDI8vyD0ICbH9eguC.jpg,"Science Fiction, Adventure",Metro-Goldwyn-Mayer,United States of America
16306,Fantastic Planet,7.675,830,1973-12-01,72,"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.",/prq0j1S0K07UjwLZLF6oMGflRUI.jpg,"Animation, Science Fiction","Argos Films, Les Films Armorial, Ina, Office de Radiodiffusion Télévision Française, Krátký film Praha – Studio Jiřího Trnky","Czechoslovakia, France"
74387,Goon,6.424,830,2012-01-06,92,"Doug Glatt, a slacker who discovers he has a talent for brawling, is approached by a minor league hockey coach and invited to join the team as the ""muscle."" Despite the fact that Glatt can't skate, his best friend, Pat, convinces him to give it a shot, and Glatt becomes a hero to the team and their fans, until the league's reigning goon becomes threatened by Glatt's success and decides to even the score.",/czTnUvy1jrfbzzDbX0xny4pozAQ.jpg,Comedy,"Inferno Pictures, Don Carmody Productions, Caramel Films, No Trace Camping, DragonCove Studios","Canada, United States of America"
134366,Grave Encounters 2,5.536,830,2012-10-12,95,"Tortured by the ghosts of the demonized insane asylum that killed the crew of GRAVE ENCOUNTERS, film students fight to escape death as their own paranormal investigation goes terribly wrong in this horrifying sequel.",/zzq1JCjsk7buXVOA0mwRH7zbHOP.jpg,Horror,"Death Awaits Cinema, Twin Engine Films, Pink Buffalo Films","Canada, United States of America"
419835,Crooked House,6.406,829,2017-09-06,115,"A private investigator helps a former flame solve the murder of her wealthy grandfather, who lived in a sprawling estate surrounded by his idiosyncratic family.",/n3Nwj7WrV42osuILi4ErBCoqkQl.jpg,"Mystery, Crime, Thriller","Fred Films, Brilliant Films, Agatha Christie Limited, Stage 6 Films, Metro International Entertainment","United Kingdom, United States of America"
11230,Drunken Master,7.344,829,1978-10-05,111,"After being punished for getting into trouble, a mischievous young man is sent to train under a brutal, but slovenly old beggar, who teaches him the secret of the Drunken Fist.",/cf43J2SH8tECZVl9N5n0Q6Ckche.jpg,"Action, Comedy",Seasonal Film Corporation,Hong Kong
405775,The Wall,6.353,829,2017-05-12,90,An American sniper and his spotter engage in a deadly cat-and-mouse game with an Iraqi sniper.,/8POAZwZpp24l1IgKKM8ZRAQ2kid.jpg,"War, Thriller, Drama","Big Indie Pictures, Amazon Studios, Picrow",United States of America
76544,Man of Tai Chi,6.065,828,2013-07-04,105,"In Beijing, a young martial artist's skill places him in position to experience opportunities and sacrifices.",/wnuT1D0fsFu7chFLtcQqwPBaBVg.jpg,"Action, Drama","China Film Group Corporation, Universal Pictures, Dalian Wanda Group, Company Films, Village Roadshow Pictures Asia","China, United States of America, Hong Kong"
455476,Knights of the Zodiac,6.635,828,2023-04-27,113,"When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?",/qW4crfED8mpNDadSmMdi7ZDzhXF.jpg,"Fantasy, Action, Adventure","Stage 6 Films, Toei Animation, Convergence Entertainment","Japan, United States of America"
